"* Required Fields","* Champs obligatoires"
"Ask your question","Poser votre question"
"Contact Form","Formulaire de contact"
"Ask Question","Poser votre question"
"Question about:","Question a propos de :"
"Contacts","Contacts"
"Contacts Section","Section Contacts"
"Email","Email"
"Email Options","Email Options"
"Email Sender","Envoyeur"
"Email Template","Template Email"
"Enable Product Question","Activer la question produit"
"Name","Nom"
"Send Emails To","Envoyer les emails a"
"Submit","Valider"
"Telephone,"Téléphone"
"Unable to submit your request. Please, try again later","Unable to submit your request. Please, try again later"
"Your question was submitted and will be responded to as soon as possible. Thank you for contacting us.","Votre question a ete transmise. Nous y repondrons le plus rapidement possible. Merci.".
"Ask a question about this product","Poser une question a propos de ce produit"
